,label,text
83,0,les femmes peuvent travailler autant que les hommes.
84,0,les hommes comprennent les femmes.
85,1,c'est un truc d'homme.
86,1,"c'est une femme amère, elle a besoin d'un homme dans sa vie !"
87,0,mon collègue est une personne incroyable
88,0,pouvez-vous me faire un rapport s'il vous plaît ?
89,0,j'aime ta façon de penser.
90,0,votre travail est de base
91,0,vous obtenez une promotion
92,0,"tu es un humain pas un robot, prends soin de toi !"
93,0,vous êtes un bon manager.
94,0,vos compétences sont utiles pour l'équipe
95,0,votre tenue doit être professionnelle
96,0,les femmes et les hommes peuvent être promus s'ils travaillent bien.
97,0,les femmes et les hommes peuvent être licenciés s'ils ne travaillent pas.
98,0,les compétences sont plus importantes que l'égalité des sexes.
99,0,les promotions sont basées sur la méritocratie
100,0,les femmes peuvent accéder à n'importe quel poste
101,0,les femmes et les hommes peuvent avoir des pensées divergentes
102,0,les femmes et les hommes ont le même temps de travail
103,0,les femmes et les hommes devraient toujours être bien habillés.
104,0,les femmes comprennent les hommes.
105,0,nous devrions écouter les femmes tandis que nous écoutons les hommes.
106,0,les hommes sont égaux aux femmes.
107,0,les femmes et les hommes peuvent avoir une carrière similaire.
108,0,les hommes peuvent avoir un congé parental en tant que femmes
109,0,nous sommes tous égaux.
110,1,"bien sûr, je choisirais l'homme, la femme tomberait probablement enceinte et partirait."
111,1,est-ce qu'il y a un homme à qui je peux parler ?
112,0,je peux parler à un manager ?
113,1,je suis sûr que vous en savez beaucoup sur le nettoyage.
114,0,comment allez-vous aujourd'hui ?
115,1,la seule raison pour laquelle tu serais dans la salle de conférence est si tu nous apportais du thé.
116,1,"mais je pense qu'en fin de compte, les garçons sont plus faciles que les filles."
117,1,"j'aime le mouvement des femmes, surtout quand je marche derrière."
118,1,assurez-vous de porter votre top coupe basse pour rencontrer ce client!
119,0,bonne chance avec votre rendez-vous client !
120,1,vous ne voulez pas travailler sur cette machine. vous pourriez casser un ongle!
121,1,je ne pouvais pas la prendre au sérieux dans cette présentation. avez-vous vu ce qu'elle portait ?
122,1,elle doit être là pour faire les sandwiches.
123,1,c'est bien d'avoir enfin quelque chose à regarder pendant les réunions.
124,1,"oh, bonne fille !"
125,0,je vais vous en parler.
126,1,pourquoi toutes les femmes sont si autoritaires ?
127,1,les garçons seront des garçons.
128,1,c'est pour travailler ou chier ?
129,0,"personne ne t'aime, tu ne tiendras pas longtemps ici."
130,0,"wow, madelyn est si gracieuse"
131,0,"eh bien, le karma est une salope, je suppose."
132,1,"jenny, arrête, tu es une salope."
133,1,"tu ne l'as pas entendu de moi, mais elle doit être la plus grosse garce du coin."
134,0,je voulais juste m'enregistrer.
135,1,elle ressemble à une vache.
136,1,sherry est toujours un con !
137,0,vous devez faire votre travail à l'heure !
138,0,"attends, peux-tu m'en parler encore une fois ?"
139,0,qu'avait-elle à dire à ce sujet ?
140,1,nora a un avenir incroyable après avoir travaillé ici. je pense qu'un rôle en tant que mère d'étape méchante. elle a juste besoin d'un peu d'âge.
141,0,ma frustration envers kat devient de plus en plus forte à chaque rencontre avec elle et son équipe.
142,1,"sheila est un sale boulot, n'est-ce pas ?"
143,0,lequel d'entre vous vient de dire ça ?
144,1,"vous avez l'air en colère, vous êtes hormonal ?"
145,1,tu es particulièrement testy aujourd'hui.
146,1,qu'est-ce qui ne va pas chez elle ?
147,1,suquer aux maths et à la logique est une exigence pour être une femme
148,1,"tu as l'air d'une gentille fille, mais je te demande de creuser un peu plus dans ce que dit le document."
149,1,"je pense que c'est la mâchoire, sa tête est en forme d'assiette, pour porter le motif de baseball."
150,1,"ça va sûrement vous énerver, les féministes."
151,0,je soutiens vraiment le mouvement féministe.
152,1,"comme vous vous y attendiez, elle a un qi très bas."
153,1,"appelez-moi sexiste, mais je pense que certaines femmes manquent sérieusement de connaissances."
154,0,le féminisme est un idéal respectable.
155,1,les hommes n'appartiennent pas à la cuisine.
156,1,"je suis désolé, mais les filles ne sont pas drôles."
157,1,je préfère avoir des gars en charge. l'atmosphère est plus décontractée et amusante. les femmes sont trop sérieuses.
158,1,"quand vous vous engagez à votre homme, engagez-vous à la salle de gym aussi."
159,1,les femmes sont des conducteurs très horribles.
160,1,les femmes sont tellement têtues
161,1,elle est blonde. qu'est-ce que tu veux ?
162,0,les femmes doivent cesser d'être appelées filles
163,1,pourquoi les femmes sont-elles si facilement confuses?
164,1,"je ne suis pas sexiste, je suis réaliste."
165,1,pourquoi les femmes managers pensent qu'elles sont la plus grande création de dieu.
166,1,ce n'est pas sexiste si tu as raison.
167,1,je ne pense pas que les femmes puissent prendre des décisions difficiles.
168,1,je ne suis pas sexiste car le sexisme est faux et je suis un homme donc je ne me trompe jamais
169,1,je préfère la voix masculine à la voix féminine.
170,0,je suis d'accord avec elle.
171,0,"elle a de grandes idées, mais les statistiques montrent une histoire différente."
172,0,j'ai bien compris son point. je pense toujours que son idée a besoin d'un peu plus de développement.
173,0,"donnez-lui un peu plus de temps pour travailler, puis vous pouvez vous attendre à de grands résultats."
174,1,"si vous le croyez, vous êtes soit une femme, soit gay."
175,1,j'aime mes cornichons comme mes femmes : minces et coupées
176,1,si tu veux être intelligent avec les hommes.
177,0,"si elle vous invite à un dîner client, vous devriez y aller. elle choisit des restaurants qui cuisinent le meilleur repas."
178,0,"je déteste quand les hommes disent que les femmes devraient prendre ""elle est si sexy"" ou ""je la baiserais"" comme un compliment et non comme une objectification"
179,0,"je ne suis pas sexiste, les femmes doivent être traitées comme n'importe quelle autre personne sur cette planète."
180,1,les femmes ne peuvent pas se garer
181,1,"je ne veux pas manquer de respect, mais les femmes sont beaucoup plus difficiles à gérer que les hommes pour moi."
182,1,l'histoire nous montre que les empires tombent quand les femmes prennent le contrôle d'eux
183,1,je crois que les hommes et les femmes ont leur rôle à la maison.
184,1,les gars sont meilleurs que les femmes en tout ! pas sexiste mais c'est juste parce que nous sommes compétitifs comme l'enfer
185,0,le viol n'est pas un coup de poing.
186,1,pourquoi les femmes en comptabilité sont si salopes ?
187,1,les femmes voient toujours les choses comme elles veulent qu'elles soient au lieu de la réalité.
188,1,"apprenez à ne pas tirer la carte ""je suis une femme""."
189,1,je déteste les riches snobs qui ne savent pas où ils sont devant les hommes !
190,1,"ne vous méprenez pas, je ne suis pas sexiste, mais voir des femmes ingénieurs sur le site est bizarre"
191,1,les femmes ont déjà des droits égaux.
192,0,ils font vraiment qu'il est difficile d'agir autrement.
193,1,wow elle est passée de zéro à la chatte en huit secondes.
194,0,mon avis est aussi valable que le sien.
195,0,son opinion est tout aussi valable que la sienne.
196,1,la majorité des filles sont inutiles dans les projets de groupe
197,1,je pense qu'ashley connaîtra son chemin dans le qg aussi bien qu'elle le fait dans les jocks de lloyd
198,0,ne rien faire exige une quantité démesurée de compétences
199,1,"melissa ne devrait pas parler d'économie, c'est comme si je parlais d'un nouveau porte-monnaie design."
200,1,je peux dire avec certitude que je n'ai pas eu de conversation intelligente avec une femme de moins de trente ans.
201,1,pourquoi les femmes sont-elles à nouveau autorisées à exprimer leurs opinions?
202,1,je pense qu'elle devrait avoir une promotion pour son apparence seule.
203,1,"désolé, mais je crois en certains rôles de genre quand il s'agit de mariage."
204,0,ed zimmerman s'est engagé à ne pas assister à des événements technologiques masculins.
205,1,le rapport semble avoir été fait par une petite fille de cinq ans.
206,1,"ces nouvelles filles pensent trop d'elles-mêmes, elles ne sont même pas séduisantes."
207,1,qui a invité mlle hottie ?
208,0,"bonne chance à elle, et laissez-nous savoir comment elle va."
209,0,les lumières sont éteintes à la statue de la liberté... c'est une femme de plus que l'amérique ne peut pas faire sans.
210,1,"c'est moins d'une journée sans femmes et plus d'une journée sans féministes, ce qui, pour être tout à fait honnête, semble charmant."
211,1,"je passerai une journée sans femmes, les vraies femmes n'abandonnent pas leurs responsabilités."
212,0,nous ne pouvons atteindre aucun de nos objectifs sans la participation des femmes et des filles.
213,1,tu as une forte prise pour une fille.
214,1,elle fait des fêtes comme un homme mais aime comme une femme
215,0,"nous avons tous besoin de soeur, de fille, de mère, de femme."
216,0,nos femmes dans l'application de la loi sont cruciales pour notre succès-protecter et servir chaque jour.
217,1,"c'était une belle journée aujourd'hui. belle et calme, les routes étaient dégagées. ça devait être une journée sans femmes."
218,1,"tu ressembles à une fille, tu agis comme une dame, tu penses comme un homme et tu travailles comme un chien."
219,0,"les femmes possèdent une combinaison unique de volonté, de détermination et d'émotions.elles peuvent protéger, soutenir et élever la famille et la société."
220,0,"merci aux femmes partout pour tout ce que vous faites pour aider à créer une atmosphère plus sage, plus forte, plus gentille et plus heureuse"
221,0,"les femmes sont les plus respectables dans notre société et notre culture. je crois qu'il faut les respecter, quelle que soit la situation."
222,0,mon frère est venu de l'école me disant qu'il était coincé pour une fille se faire harceler bc il déteste voir les filles en colère. c'est un vrai gentleman.
223,0,on ne peut pas être ici sans la participation des femmes et des filles.
224,0,"les femmes ne sont pas plus faibles que les hommes, sans les femmes, tout le monde n'est rien."
225,0,parlons de la façon dont le cerveau d'une fille est aussi bon que celui d'un garçon.
226,0,"cinq pieds et neuf pouces est grand pour une fille, n'est-ce pas ?"
227,1,tu es une femme et tu n'as pas l'équivalent de la merde que tu n'es pas un homme et tu ne peux rien faire d'aussi bon qu'un homme.
228,0,un homme n'a pas besoin de craindre le revenu de sa femme.
229,1,c'est une fausse cause fabriquée par des féministes et des lesbiennes qui détestent les hommes.
230,0,"nurtured par ma mère, trouvé le véritable amour dans ma femme et compris le sens réel de la vie avec ma fille. je suis béni."
231,0,un gars devrait ouvrir la porte de la voiture pour une fille ?
232,1,tu sais que tu es plutôt malin pour une fille.
233,1,une bonne femme sait que peu importe qui fait un travail de gestion aussi longtemps que son meilleur homme pour le travail
234,0,parce que derrière chaque grande femme il n'y a pas d'homme
235,0,nous voulons construire un monde de travail différent pour les femmes
236,0,"la femme est l'avenir. lève-toi, lève-toi."
237,1,"en tant qu'homme, j'aurais dit cette phrase deux fois plus bonne."
238,0,"chaque fois que vous maltraitez une femme, vous renoncez au droit d'être traité comme un homme."
239,0,un monde en transition a besoin d'énergie féminine.
240,1,"je me fiche que tu penses être dur si tu ne peux pas agir comme un homme, personne ne te respectera."
241,0,que ferait le monde sans les femmes et les filles ?
242,0,nous avons toujours été les catalyseurs et les responsables du changement. nous devrions rejeter la misogynie à chaque tour!
243,1,mais j'ai pensé que tu étais assez dur pour le prendre comme un homme.
244,0,une femme doit-elle agir comme un homme d'affaires ?
245,0,une femme est aussi bonne qu'un homme.
246,0,"quand un homme est ambitieux c'est considéré comme une bonne chose, et quand une femme est décrite comme ambitieuse c'est considéré comme un négatif complet"
247,1,elle pense comme un homme mais agit comme une dame
248,0,ne pensez pas qu'une femme doit agir comme un homme pour montrer qu'elle a de la force.
249,0,"je suis aussi bon qu'un homme, je n'ai pas besoin d'une journée spéciale pour fêter ça."
250,1,une femme ne vaut rien à moins qu'elle puisse botter le cul comme un homme
251,0,"pour être considérée à moitié aussi bonne, une femme doit travailler deux fois plus dur qu'un homme."
252,0,"quand la vie te donne des citrons, tu les jettes dans les yeux des gens qui te disent que tu es intelligente pour une fille"
253,0,une femme qui ne sait pas cuisiner peut aussi bien garder un homme que la femme qui sait cuisiner si vous me le demandez.
254,1,"personnellement, je pense que les femmes ne devraient pas jouer au soccer ou conduire des camions parce que ce n'est pas élégant"
255,0,une femme qui s'efforce d'être comme un homme manque d'ambition.
256,1,dans un lieu de travail principalement masculin être bon à ce que vous faites équivaut à le faire comme un homme.
257,0,"il n'y a pas de limite à ce que nous, en tant que femmes, pouvons accomplir."
258,1,agissez comme un homme ou autre
259,0,respecter les femmes dans leurs années avancées qu'elles méritent à juste titre
260,0,"ce qu'un homme bon peut faire, une femme peut faire aussi bien ou même mieux. ensemble, nous sommes les meilleurs."
261,1,"je ne suis pas bête, mais je ne comprends pas pourquoi elle marche comme une femme et parle comme un homme."
262,1,voici un conseil pour les femmes : pensez comme un homme agir comme une femme
263,1,elle ressemble à un homme.
264,1,"les femmes sont territoriales dans leurs cuisines, c'est un peu comme un homme et son garage."
265,1,il est temps de se lever et de marcher comme un homme
266,0,il n'y a pas de bonne raison qu'une femme ne puisse réaliser autant qu'un homme si elle veut
267,1,le mariage est le bonheur ultime d'une fille.
268,1,"je ne suis pas une femme chauviniste, mais si dans cette ère moderne, un homme bon est jugé comme celui qui paie les factures? une bonne femme est celle qui peut cuisiner!"
269,1,les femmes sont physiquement incapables de faire un travail aussi bon qu'un homme dans de nombreuses industries. c'est une anatomie de base.
270,0,elle mérite l'amour dont elle a besoin et le respect qu'elle mérite !
271,0,"huge criout à toutes les dames qui ont prouvé qu'ils pouvaient faire un travail d'homme aussi bon qu'un homme le pouvait, quand tout le monde pensait que c'était impossible"
272,0,aucune montagne n'est assez haute pour qu'une fille monte
273,1,tu es vraiment grande pour une fille !
274,1,ces salopes si inquiètes de penser comme un homme qu'elles ne savent pas ce que c'est d'être une femme
275,1,elégant et beau? pas cher et crasseux! rien de plus peu attrayant que les filles qui se tapent sur comment chaud hey sont.
276,1,sa fonte parce que vous ne l'avez pas mis dans le congélateur avant de vous l'avoir servie idiote!
277,1,je ne peux pas arrêter de regarder l'horrible soutien-gorge escroqué noir de nikki
278,1,j'essaie de trouver quelque chose de joli à propos de ces idiots blondes.
279,1,"elle sait marcher, tu vas faire une fille, un pied devant l'autre."
280,1,restez à vos emplois de jour filles
281,1,katie et nikki ont prouvé qu'ils ne sont pas seulement des blondes idiotes avec de jolis visages.
282,1,"oui, on comprend, tu es jolie, tu fais ton auto promo et tu cuisines !"
283,1,ils commencent à agir et ressemblent à quelques prostituées de grade b pour moi.
284,0,classique et élégant est une façon de le dire.
285,1,désolé mais jessie est un vrai con.
286,1,katie est grosse !
287,1,il les a sauvés parce qu'il veut les frapper.
288,1,"vous avez compris, blondes."
289,1,"les filles, vous êtes stupides si vous croyez vraiment que vous avez de jolis visages."
290,1,je veux juste gifler les idiots de ces bimbos !
291,1,"colin était gentil avec les filles, tu crois qu'il leur donne la bite ?"
292,1,"je ne sais pas ce qui est plus gros, son front ou son cul ?"
293,1,je déteste déjà ces salopes blondes.
294,1,allez sur la piste et retournez dans la cuisine.
295,1,qu'est-ce qu'un bitch dumb
296,1,"mets un soutien-gorge sur nikki, salope idiote"
297,1,ces filles ont besoin d'y aller. leur vanité me rend malade.
298,1,je me demande lequel des blondes a baisé le manager pour avoir ce boulot ?
299,1,sassy - à mi-chemin entre salope et classe
300,1,ces filles ont vraiment mis l'ass dans le cul
301,1,"c'est nul, les putes."
302,1,"comment dormez-vous la nuit, cathy ?"
303,1,"elle est peut-être une salope, mais soyons honnêtes, les blondes n'étaient pas trop loin derrière."
304,1,"nikki, gardez les bras baissés pour cacher les ailes de bingo et le dos."
305,1,"arrête de te faire chier, salope."
306,1,toux salope toux
307,1,"aimez debra et eva, et sheri et emilie! telles belles âmes. est-ce que sheri et eva s'embrasseront?"
308,1,sheri si tu n'avales pas si bien mais il boira beaucoup de jus d'ananas
309,1,"va te faire foutre maddy, stupide salope"
310,1,"je jure que tianna et andre sont les pires compétiteurs, c'est une petite salope."
311,1,jeans était un peu serré ce soir danielle ?
312,1,"elle appelle ça stratégique, j'appelle ça être une salope !"
313,1,les blondes s'en sortiront parce qu'elles sont jeunes et peuvent sucer
314,1,elle ressemble à medusa plus cette vilaine personnalité pour la couronner
315,1,"cette salope n'a pas le droit de parler d'équité et n'a pas le droit de célébrer, j'espère qu'ils s'écrasent et brûlent qu'ils ne méritent pas d'être ici."
316,1,elle devrait s'entraîner sur ses compétences culinaires
317,1,pourquoi est-ce qu'elle doit être aussi con ?
318,1,"sérieusement, les yeux fous restent ?"
319,1,"en fait, c'est une salope, mais j'ai dû rire de sa réponse."
320,1,helena est une sacrée salope !
321,1,c'est la sorcière de l'ouest.
322,1,son visage de chienne de repos va me manquer.
323,1,"kate, espèce de stupide femme !"
324,0,un autre étudiant s'installe à l'université pour un processus injuste résultant d'audiences d'agression sexuelle sur le campus
325,0,vous faites beaucoup d'hypothèses sans fondement et décidez qu'elles sont des faits.
326,1,"ça doit être nul de ne pas pouvoir atteindre ton propre potentiel dans la vie, parce que tu es une femme."
327,0,pourquoi sommes-nous à l'écart lorsqu'une minorité vocale crie que nous avons plus de droits que les femmes?
328,0,tu te rends compte à quel point le féminisme est puissant ?
329,0,"avez-vous déjà pris six semaines de congé du travail, décidez-vous occasionnellement si vous voulez revenir et ensuite choisir de travailler à temps partiel?"
330,0,"merci, j'apprécie."
331,0,pourquoi a-t-elle été virée ?
332,0,pouvez-vous donner un exemple ?
333,0,il y a littéralement des preuves de photo ci-dessus
334,0,pourquoi vous la hantez pour avoir man hands ?
335,0,qui serait-ce ?
336,0,c'est le fondateur du tag...
337,0,peut-elle expliquer pourquoi c'est mal ?
338,0,"je les cherche, il y a beaucoup de foin sur ces aiguilles."
339,0,elle a dit ça de quelle façon ?
340,1,je n'avais pas réalisé que je devais te traiter comme un enfant dont l'opinion n'était pas pertinente.
341,0,je prendrai n'importe quel écran que vous avez.
342,0,"je n'aurais aucun moyen de le savoir, donc c'est un mauvais point."
343,0,c'était en réponse à elle.
344,0,elle est géniale.
345,0,c'est la cause profonde de leur hypocrisie.
346,0,pouvez-vous expliquer pourquoi ce qu'elle a décrit est faux ?
347,0,tu peux expliquer pourquoi c'est mal ?
348,0,je n'ai aucune idée de ce qu'elle a dit.
349,0,"donc, vous continuerez à vous opposer à l'égalité, quelle que soit la logique ?"
350,0,j'aime une approche multimédia.
351,1,"tu savais que quand tu regardes une fille, tu la violes ?"
352,0,la logique de pretzel est sous-estimée. sa logique est comme un bretzel étant battu et jeté hors de la tour sears. la logique de puddle...
353,0,je parie sur ce dernier.
354,0,"donc, pas de problème avec elle de faire ce qu'elle décrie, alors ?"
355,1,"j'ai alors réalisé que l'hypocrisie égoïste est le cœur du féminisme moderne, et non l'égalité."
356,1,je n'en sais pas plus que ce que je viens de vous dire. je pensais que son visage souriant d'hypocrisie et de misandry incarne le féminisme moderne.
357,0,je suis bloqué.
358,1,c'est ce que dit une chatte impensable.
359,0,"exactement, c'est un stratagème de marketing sexiste."
360,0,définissez le forçage.
361,0,"je ne la connais pas, désolé."
362,0,"non, je vais devoir être en désaccord avec lui."
363,0,"c'est une question vraiment intéressante. bien sûr, la réponse est prévisible et ennuyeuse."
364,0,j'ai vu ça l'autre jour.
365,0,pour une exten nous ne sommes pas vraiment submergés par de grandes options
366,0,tu as l'air d'avoir le bon sens.
367,0,donc la réponse n'est rien ?
368,0,"rien de tout cela n'est vrai, mais je reviens à la question originale et à la recherche."
369,0,personne n'a dit qu'elle devrait.
370,0,pouvez-vous expliquer pourquoi ce serait sexiste ?
371,0,"en fait, elle a un diplôme en économie."
372,0,"vous ne pouviez pas concevoir un ensemble d'incitations beaucoup plus pauvres, non."
373,0,je dis que vous ne pouvez jamais contrôler deux personnes différentes pour être les mêmes.
374,1,je déteste quand tu ouvres la porte à une nana sexy et que sa vilaine amie veut que tu la laisses ouverte pour elle. salope l'ouvre toi-même
375,1,"rien, j'aime les femmes en rose, c'est un pourboire qu'elles ne rejettent pas la féminité comme, tu sais."
376,0,"j'ai un million d'arguments valables, ça ne change rien à la réalité."
377,0,il faut prendre le mauvais avec le bon.
378,0,je ne l'ai jamais entendu.
379,0,désolé d'entendre ça.
380,0,"merci de m'avoir prévenu, je l'ai regardé."
381,0,"non, donc, les deux termes différents."
382,0,qui en est responsable ?
383,0,"excusez-moi, qui se dispute ?"
384,0,il n'y a pas de bœuf ici.
385,0,"j'ai vu son travail il y a quelques jours, c'est génial, il nous en faut 50 de plus."
386,0,le mobile ne diminue pas le résultat.
387,0,alors je n'en ai aucune idée.
388,0,"tu pourrais penser à la pire idée possible, et ce ne serait pas aussi mal que celle-ci."
389,0,"elle était déjà liée, elle s'en fiche."
390,0,il semble qu'elle ne se soucie pas des faits.
391,1,cette fille est hideuse dans tous les sens.
392,0,mais j'apprécie que tu m'apportes du bon contenu.
393,0,votre précédent éloge était-il tactique ou simplement déplacé ?
394,0,le fait que les femmes soient posées à cette question est-il sexiste?
395,0,"si vous ne négociez pas un bon salaire, il est difficile de le rattraper plus tard."
396,0,et ça prouve quoi ?
397,0,c'est dégoûtant.
398,0,bonne chance avec ça.
399,1,"la mine n'est pas un lieu de travail pour une femme. appelez-moi sexiste, mais une femme comme foreuse de roche n'est pas pratique."
400,1,"je suis désolé, mais je ne vois pas ce qu'il y a de chaud chez les filles qui mangent comme des mecs, mais j'aime les filles parce que ce sont des filles."
401,0,le féminisme est un idéal respectable. la recherche de problèmes n'est pas.
402,1,"je suis sexiste, mais je déteste les réceptionnistes, elles me donnent toujours l'attitude comme si c'était la raison pour laquelle leur petit ami avait rompu avec eux."
403,1,"sérieusement, si vous êtes une femelle, vous devez être capable de cuisiner. c'est dans votre adn"
404,1,je pense juste que les hommes sont de meilleurs comédiens.
405,1,la seule chose qu'une femme devrait aider un homme à construire est une relation
406,1,les femmes devraient se familiariser avec les pots. après tout un chemin vers le cœur d'un homme est à travers l'estomac
407,1,ils doivent retourner dans la cuisine si vous me le demandez.
408,1,il semble que les femmes n'aient jamais d'opinions valables en matière de sport
409,1,certaines filles ne devraient porter aucun type de vêtements serrés
410,1,je crois que les femmes ont tendance à être plus impraticables que les hommes.
411,1,les seules femmes que je peux prendre au sérieux quand elles sont en colère sont ma mère et ma grand-mère
412,1,il n'y a aucune chance que je laisse une fille me battre à n'importe quoi.
413,1,ne jamais prendre les directions d'une femme!
414,1,"les gens au travail sont enfantins. il est dirigé par des femmes et quand les femmes n'acceptent pas quelque chose, oh mec."
415,1,j'aurais peur d'avoir une femme qui dirige le pays. les femmes sont trop gentilles.
416,1,"il y a deux poids deux mesures, il y a certaines règles pour les mecs et certaines règles pour les femmes."
417,1,"c'était le meilleur des temps, c'était le pire des temps, mais elle avait des seins incroyables, je dois dire."
418,1,"la meilleure partie du corps d'une femme est ses mains, simplement parce qu'ils peuvent faire des sandwichs et nettoyer la merde avec eux"
419,1,"je dois admettre que les blagues ""les femmes font partie de la cuisine"" valent le coup."
420,1,les femmes parlent trois fois plus que les hommes
421,1,"je vais probablement avoir des ennuis pour ça, mais les femmes n'ont pas été conçues ou créées pour être seules."
422,0,ne traite pas les femmes comme un objet.
423,1,"j'espère qu'aucune femme n'essaie de m'ébranler, mais la position ultime d'une femme est d'être par un homme."
424,1,chaque fille n'est pas une exception.
425,1,seules les femmes reconnaissent le « dernier tour » sur une machine à laver pleine de vêtements
426,1,je n'aime pas les enseignantes en génie
427,1,je ne peux plus travailler avec 5 femmes managers en même temps.
428,0,"la culture du viol n'est pas d'avoir le sens de l'humour, c'est de tuer, de harceler et de terrifier les femmes."
429,1,je ne supporte pas les femmes commentatrices
430,1,j'en ai assez des annonceuses.
431,1,je sens juste que les hommes et les femmes ont leurs rôles appropriés dans la vie
432,1,beaucoup de femmes manquent parfois de vraie logique.
433,1,"la véritable définition d'une déesse est une bonne femme au foyer et mère qui a aussi une bonne santé, un look et un physique"
434,1,les compétences et les capacités des hommes ne sont que des ligues au-dessus de celles des femmes.
435,1,les filles ne sont pas si drôles.
436,1,la plupart des filles ne savent pas comment se former leurs propres opinions.
437,1,je ne pense pas que l'amérique soit prête pour une femme présidente.
438,1,"en ce qui me concerne, les filles qui se disputent sont stupides."
439,1,les filles ne devraient pas maudire.
440,1,"peu importe, mais la plupart des filles que j'ai rencontrées ne sont pas faites pour travailler à plein temps."
441,1,je ne voterai jamais pour une femme présidente parce que je ne pense pas qu'une femme soit suffisamment stable mentalement.
442,1,"on s'ennuie tous avec les femmes, elles cessent de faire sens après un moment, surtout la partie qui parle."
443,1,je ne supporte pas de travailler dans un bureau avec des femmes qui bavardent tout le temps.
444,0,"peut-être, mais j'ai toujours raison."
445,1,j'ai besoin d'une fille qui repassera mes chemises et ne m'appellera pas sexiste.
446,1,les hommes sont beaucoup plus civilisés au cours de ces débats que les femmes.
447,1,"presque uniquement parce que les hommes peuvent élever leur voix, les femmes finissent par crier."
448,1,"les hommes discutent, les femmes se disputent."
